Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Regional Planning Initiative,6,Northeast Indiana Area Health Education Center (Blackford),Blackford,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1082.454554,780.7944256
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (DeKalb),DeKalb,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1312.94532,885.0590361
Regional Planning Initiative,6,Northeast Indiana Area Health Education Center (Delaware),Delaware,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1042.762848,832.7591359
Regional Planning Initiative,2,Northeast Indiana Area Health Education Center (Elkhart),Elkhart,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,952.1025094,795.9579537
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Grant),Grant,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1278.816866,935.9931712
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Huntington),Huntington,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1157.484176,834.1726287
Regional Planning Initiative,6,Northeast Indiana Area Health Education Center (Jay),Jay,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1135.769258,736.4656821
Regional Planning Initiative,2,Northeast Indiana Area Health Education Center (Kosciusko),Kosciusko,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,852.193128,783.1172754
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (LaGrange),LaGrange,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1199.123935,779.0877267
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Noble),Noble,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1192.530229,886.4100226
Regional Planning Initiative,6,Northeast Indiana Area Health Education Center (Randolph),Randolph,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1052.621149,689.6853338
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Steuben),Steuben,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1287.950756,791.5182916
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Wabash),Wabash,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1248.196974,838.180363
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Wells),Wells,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1313.955954,741.6863493
Regional Planning Initiative,3,Northeast Indiana Area Health Education Center (Whitley),Whitley,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.bsu.edu/about/administrativeoffices/bbc/affiliatedcenters/neiahec,Cathy Whaley,cdwhaley@bsu.edu,765-285-5681,1324.90732,683.7429998
Regional Works Council,7,Region 7 Works Council (Vermillion),Vermillion,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,148.4466831,1199.153918
Regional Works Council,7,Region 7 Works Council (Parke),Parke,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,88.15960664,1112.202113
Regional Works Council,7,Region 7 Works Council (Putnam),Putnam,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,131.7428619,1156.036795
Regional Works Council,7,Region 7 Works Council (Vigo),Vigo,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,49.30267759,1149.849031
Regional Works Council,7,Region 7 Works Council (Clay),Clay,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,58.28112224,1186.322992
Regional Works Council,7,Region 7 Works Council (Sullivan),Sullivan,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region7/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,60.06919784,1069.904369
Workforce Investment Board,7,Western Indiana Economic Growth Region (Vermillion),Vermillion,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,825.06805,68.14293484
Workforce Investment Board,7,Western Indiana Economic Growth Region (Parke),Parke,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,921.0197584,71.97894637
Workforce Investment Board,7,Western Indiana Economic Growth Region (Putnam),Putnam,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,904.0499266,26.54059406
Workforce Investment Board,7,Western Indiana Economic Growth Region (Vigo),Vigo,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,1084.126435,107.4865058
Workforce Investment Board,7,Western Indiana Economic Growth Region (Clay),Clay,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,819.7815044,29.4280668
Workforce Investment Board,7,Western Indiana Economic Growth Region (Sullivan),Sullivan,"The WorkOne center is the heart of the workforce development system. It's where service delivery partners connect with customers, and with each other. WorkOne helps people find a new or better job, choose a career, find a good employee, access training, or get the information needed to succeed in today's ever-evolving workplace.",,http://www.workonewest.com/,Not Readily Available,Not Readily Available,(812) 234-6602,980.7997366,109.3349152
Community Foundation,7,Parke County Community Foundation Inc.,Parke,"The Parke County Community Foundation's mission is to assist donors in meeting charitable need in Parke County and to build community capacity, thereby, enhancing the quality of life in Parke County.",,http://www.parkeccf.org/index.html,"Brad C. Bumgardner, Executive Director",parkeccf@yahoo.com,765-569-7223,227.9966581,585.9976769
Community Foundation,7,The Putnam County Community Foundation,Putnam,"The Community Foundation holds, invests, and administers a collection of separate funds established to meet philanthropic goals of donors and the needs of Putnam County. It is a vehicle through which contributions, both large and small, can be built over time into a substantial pool of money to achieve public good for Putnam County. The income from this pool is awarded in the form of grants to meet community needs and aspirations both now and in the future.",,http://www.pcfoundation.org/,"M. Elaine Peck, Executive Director",epeck@pcfoundation.org,765-653-4978,241.5000817,541.5815067
Community Foundation,7,Vermillion County Community Foundation,Vermillion,The Vermillion County Community Foundation is dedicated to connecting people who care with causes that matter.ÿ We strive to identify and support programs designed to enrich the quality of life for all who live in Vermillion County.,,http://thevccf.org/,Not Readily Available,Director@TheVCCF.org,765-832-8665,159.7497938,557.9673411
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Clay),Clay,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1384.582665,829.6262146
Regional Planning Initiative,4,West Central Indiana Area Health Education Center (Fountain),Fountain,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1406.426002,1271.715102
Regional Planning Initiative,8,West Central Indiana Area Health Education Center (Greene),Greene,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,727.8260685,1299.166711
Regional Planning Initiative,4,West Central Indiana Area Health Education Center (Montgomery),Montgomery,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1302.529153,1304.143655
Regional Planning Initiative,8,West Central Indiana Area Health Education Center (Owen),Owen,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,842.357377,1297.965356
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Parke),Parke,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1411.832054,670.3463035
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Putnam),Putnam,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1407.755971,774.618018
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Sullivan),Sullivan,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1410.649092,889.8976586
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Vermillion),Vermillion,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1401.974163,946.5186188
Regional Planning Initiative,7,West Central Indiana Area Health Education Center (Vigo),Vigo,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1404.70802,722.4500052
Regional Planning Initiative,4,West Central Indiana Area Health Education Center (Warren),Warren,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://cms.indstate.edu/health/center/ahec,Gail Wright,gail.wright2@indstate.edu,812-237-4365,1312.055109,1247.6865
Regional School Age Program,7,Greater Terre Haute Afterschool Network,Vigo,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,179.8159977,139.5600361
Regional Works Council,8,Region 8 Works Council (Owen),Owen,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,86.00917568,1368.361675
Regional Works Council,8,Region 8 Works Council (Monroe),Monroe,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,180.6208796,1370.568842
Regional Works Council,8,Region 8 Works Council (Brown),Brown,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,249.7594351,1341.015902
Regional Works Council,8,Region 8 Works Council (Greene),Greene,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,247.4140468,1305.708771
Regional Works Council,8,Region 8 Works Council (Daviess),Daviess,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,289.9088106,1372.609107
Regional Works Council,8,Region 8 Works Council (Martin),Martin,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,242.6735483,1416.828369
Regional Works Council,8,Region 8 Works Council (Lawrence),Lawrence,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,148.7273966,1414.33544
Regional Works Council,8,Region 8 Works Council (Orange),Orange,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region8/index.htm,Not Readily Available,Not Readily Available,Not Readily Available,54.24071877,1408.512191
Workforce Investment Board,8,South Central Region 8 Workforce Board (Owen),Owen,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1403.909388,267.2849574
Workforce Investment Board,8,South Central Region 8 Workforce Board (Monroe),Monroe,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1404.356852,516.3822681
Workforce Investment Board,8,South Central Region 8 Workforce Board (Brown),Brown,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1403.193784,426.5124304
Workforce Investment Board,8,South Central Region 8 Workforce Board (Greene),Greene,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1403.269228,346.2889647
Workforce Investment Board,8,South Central Region 8 Workforce Board (Daviess),Daviess,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1398.086203,383.7874188
Workforce Investment Board,8,South Central Region 8 Workforce Board (Martin),Martin,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1396.567952,468.8201414
Workforce Investment Board,8,South Central Region 8 Workforce Board (Lawrence),Lawrence,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1408.380648,560.1416016
Workforce Investment Board,8,South Central Region 8 Workforce Board (Orange),Orange,"South Central Region 8 Workforce Board will serve as a catalyst to promote collaborative relationships between business, education, labor, and service providers to support workforce development efforts and regional economic growth.",,http://www.southcentral8.org/,John Corcoran,info@southcentral8.org,(812) 332-4496,1400.189599,307.4519271
Community Foundation,8,Brown County Community Foundation,Brown,Be a collaborative leader for positive impact in the Brown County community by building on the spirit of philanthropy,,http://browncountygives.org/bcgives/,Not Readily Available,info@browncountycommunityfoundation.org,812-988-4882,327.5379734,584.1367199
Community Foundation,8,Community Foundation of Bloomington & Monroe County. Inc,Monroe,"The Community Foundation fuels innovative ideas and lasting impact in Monroe County. We make grants, offer expertise and lead in collaboration with others to meet our community?s most pressing needs and seize its most important opportunities. Our impact extends from early childhood development to aging, from basic needs to economic development, from the arts to the environment, and more.",,http://www.cfbmc.org/,Not Readily Available,info@cfbmc.org,812-333-9016,342.8443873,528.5997902
Community Foundation,8,Greene County Foundation,Greene,The Mission of the Greene County Foundation is to inspire individuals to engage in strengthening Greene County now and for generations to come.,,http://www.greenecountyfoundation.org/,"Kerry Conway, Executive Director",,812-659-3142,426.0875782,562.9065193
Community Foundation,8,Orange County Community Foundation,Orange,Not Readily Available,,http://occf-in.org/,"Imojean Dedrick, Executive Director",imodedrick@orangecountycommunityfoundation.org,812-723-4150,405.5951431,596.9116824
Community Foundation,8,Owen County Community Foundation,Owen,"The Owen County Community Foundation is committed to help make our communities become better places to grow, work, and live.",,http://www.owencountycf.org/home1.aspx,Marilyn Hart,marilyn@owencountycf.org,812-829-1725,417.8359429,510.9301194
Regional Planning Initiative,8,South Central Indiana Area Health Education Center (Brown),Brown,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,688.8462314,1422.2153
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Clark),Clark,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1002.206756,1194.255043
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Crawford),Crawford,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1163.983157,1139.422856
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Floyd),Floyd,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1246.282337,1113.69782
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Harrison),Harrison,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1071.832925,1150.773872
Regional Planning Initiative,9,South Central Indiana Area Health Education Center (Jackson),Jackson,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1051.385112,940.2916168
Regional Planning Initiative,8,South Central Indiana Area Health Education Center (Lawrence),Lawrence,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,628.0337161,1321.482618
Regional Planning Initiative,8,South Central Indiana Area Health Education Center (Martin),Martin,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,714.652313,1349.655472
Regional Planning Initiative,8,South Central Indiana Area Health Education Center (Monroe),Monroe,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,527.2207221,1347.529611
Regional Planning Initiative,8,South Central Indiana Area Health Education Center (Orange),Orange,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,899.3680482,1242.316144
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Scott),Scott,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1136.048122,1192.403014
Regional Planning Initiative,10,South Central Indiana Area Health Education Center (Washington),Washington,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.hoosieruplands.org/DepartmentMain.aspx?DID=12,,,812-849-4447,1223.349368,1176.998165
Regional School Age Program,8,Bloomington Afterschool Network,Monroe,"The Mission of the Bloomington Afterschool Network is to increase access, quality and attendance for all youth and families in out of school time programming through community collaboration in Bloomington, Indiana and surrounding areas.",,http://www.bloomingtonafterschoolnetwork.org/,,,,96.29454108,78.29306305
Regional Planning Initiative,9,Community Education Coalition,Bartholomew,"The CEC is focused on aligning and integrating our community learning system, economic development and quality of life.",,http://www.educationcoalition.com/#home,John Burnett,jburnett@educationcoalition.com,812-371-5361,1292.361112,1042.387265
Community Foundation,9,Community Foundation of Switzerland County Inc.,Switzerland,"Connecting people who care with causes that matter for good, for ever, for Switzerland County",,http://www.cfsci.org/,"Pam Acton, Executive Director",info@cfsci.org,812-427-9160,576.1746931,432.7546602
Community Foundation,9,Dearborn County Community Foundation,Dearborn,"The Dearborn Community Foundation, Inc.ÿis aÿcatalyst to connect people who care with causes that improve the quality of life in our community by advancing cultural, educationalÿandÿsocialÿopportunities, while preserving our community's heritageÿandÿhelping donorsÿtoÿcreate a permanent legacyÿin Dearborn County.",,http://www.dearborncf.org/,Denise Sedler,dsedler@dearborncf.org,812-539-4115,500.0492145,602.0581632
Community Foundation,9,Decatur County Community Foundation Inc,Decatur,"The Decatur County Community Foundation encourages, prudently manages and distributes charitable contributions to improve the quality of life of Decatur County residents, now and in the future.",,http://dccfound.org/,"Sharon Hollowell, Executive Director",contact@dccfound.org,812-662-6364,594.2817996,585.7714282
Regional Planning Initiative,9,East Indiana Area Health Education Center (Bartholomew),Bartholomew,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1290.724484,991.6841354
Regional Planning Initiative,9,East Indiana Area Health Education Center (Dearborn),Dearborn,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,775.178977,873.7953819
Regional Planning Initiative,9,East Indiana Area Health Education Center (Decatur),Decatur,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,865.8065107,898.0324579
Regional Planning Initiative,6,East Indiana Area Health Education Center (Fayette),Fayette,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1030.238643,738.4467001
Regional Planning Initiative,9,East Indiana Area Health Education Center (Franklin),Franklin,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,956.3235541,917.1736017
Regional Planning Initiative,6,East Indiana Area Health Education Center (Henry),Henry,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,812.6325247,728.0777959
Regional Planning Initiative,9,East Indiana Area Health Education Center (Jennings),Jennings,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,961.1461561,873.3789641
Regional Planning Initiative,9,East Indiana Area Health Education Center (Jefferson),Jefferson,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.eiahec.org/,Rhonda Savage,rhonda.savage@eiahec.org,812-212-3210,1143.244048,971.9147802
